Transaction,Item
9159,Coffee
9160,Coffee
9160,NONE
9161,Bread
9162,Sandwich
9162,Bread
9162,Cake
9162,Cake
9163,Farm House
9163,Bread
9163,Cake
9164,Bread
9165,Bread
9165,Cookies
9166,Scone
9166,Toast
9166,Coffee
9166,Coke
9167,Coffee
9167,Bread
9167,Cookies
9167,Brownie
9168,Juice
9169,Farm House
9170,Scone
9170,Bread
9171,Bread
9172,NONE
9172,Pastry
9173,Coffee
9173,Coffee
9174,Bread
9174,Alfajores
9174,Tiffin
9175,Bread
9176,Coffee
9176,Scone
9177,Coffee granules 
9178,Bread
9178,Sandwich
9178,Brownie
9178,Cookies
9178,Bread
9179,Coffee
9179,Cookies
9180,Pastry
9180,Coffee
9181,Coffee
9182,Bread
9182,Cookies
9182,Cake
9183,Bread
9183,Coffee
9183,Truffles
9184,Coffee
9184,Coffee
9185,Coffee
9185,Juice
9185,Toast
9186,Bread
9186,Bread
9187,Baguette
9187,Coffee
9187,Truffles
9187,Medialuna
9187,Alfajores
9187,Juice
9188,Coffee
9188,Cookies
9189,Coffee
9189,The Nomad
9190,Bread
9190,Baguette
9191,Bread
9192,Granola
9192,Coffee
9193,Bread
9193,Tea
9193,Pastry
9194,Coffee
9194,Coffee
9195,Crisps
9196,Bread
9197,Bread
9197,Smoothies
9197,NONE
9197,Spanish Brunch
9197,Coffee
9198,NONE
9198,Coffee
9199,Juice
9200,Tea
9200,Coffee
9201,Coffee
9201,Tea
9201,Cake
9201,Pastry
9202,Coffee
9202,Tiffin
9203,Cake
9204,Coffee
9204,Spanish Brunch
9204,The Nomad
9204,Cake
9204,Tiffin
9205,Bread
9205,Bread
9205,Brownie
9206,Bread
9206,Juice
9206,Coffee
9206,The Nomad
9206,Sandwich
9207,Bread
9207,Alfajores
9207,Alfajores
9208,Bread
9208,Smoothies
9208,Coffee
9208,Muffin
9208,Sandwich
9209,Bread
9210,Coffee
9210,Juice
9210,Truffles
9210,Sandwich
9210,Sandwich
9210,Pastry
9210,Coke
9211,Tea
9211,NONE
9211,Soup
9211,Chicken Stew
9212,Coke
9212,Soup
9213,Sandwich
9213,Truffles
9213,Coffee
9213,Pastry
9214,Cookies
9214,Cake
9214,Brownie
9214,Coffee
9215,Bread
9216,Coffee
9216,Bread
9216,Soup
9217,Scone
9218,Bread
9218,Cake
9219,Medialuna
9219,Bread
9219,Muffin
9219,Coffee
9219,Sandwich
9220,Honey
9220,Scandinavian
9221,Coffee
9222,Alfajores
9222,Brownie
9222,Cake
9223,Bread
9224,Coffee
9225,Mineral water
9226,Truffles
9226,Spanish Brunch
9227,Soup
9227,Bread
9227,Coffee
9228,Sandwich
9229,Bread
9230,Coffee
9230,Coffee
9230,Chicken Stew
9230,Extra Salami or Feta
9231,Tea
9231,Bread
9231,Coffee
9231,Scone
9231,Medialuna
9231,Bread
9232,Tea
9232,Granola
9232,NONE
9233,Bread
9234,Hot chocolate
9234,Bread
9234,NONE
9234,Tiffin
9235,Bread
9236,Coffee
9237,Coffee
9238,Coffee
9239,Coffee
9239,Coffee
9239,Cake
9239,Cookies
9240,Hot chocolate
9240,Coffee
9240,Cake
9241,Coffee
9241,Pastry
9242,Muffin
9242,Coffee
9242,Coffee
9243,Bread
9243,Coffee
9243,Coffee
9244,Coffee
9244,Coffee
9244,Coffee
9245,Coffee
9245,Coffee
9245,Medialuna
9245,NONE
9246,Bread
9247,Tea
9247,Coffee
9247,Cookies
9248,Coffee
9248,Bread
9249,Bread
9250,Coffee
9251,Cake
9251,Brownie
9252,Bread
9252,Farm House
9253,Pastry
9253,Cake
9254,Coffee
9254,NONE
9254,Sandwich
9254,Bread
9254,Scandinavian
9254,Fudge
9255,Bread
9256,Coffee
9256,Jammie Dodgers
9256,Tiffin
9256,Juice
9257,Bread
9258,Coffee
9258,Sandwich
9259,Spanish Brunch
9260,Truffles
9260,Crisps
9260,Sandwich
9261,Bread
9261,Muffin
9261,Coke
9261,NONE
9261,Sandwich
9261,Tea
9261,Farm House
9262,Coffee
9262,Pastry
9262,Bread
9263,Scone
9263,Pastry
9263,Cake
9263,Alfajores
9264,Coffee
9264,Cake
9265,Argentina Night
9266,Soup
9267,Cake
9267,Cake
9267,Smoothies
9268,Cake
9269,Pastry
9269,Bread
9269,Truffles
9270,Coffee
9270,Tea
9270,NONE
9270,Scone
9270,Bread
9271,Cake
9271,Bread
9271,Sandwich
9271,Sandwich
9272,Sandwich
9272,Coffee
9273,Coffee
9273,Coffee
9273,Cake
9274,Coffee
9274,Juice
9274,Spanish Brunch
9274,NONE
9277,Coffee
9277,Coffee
9277,Coffee
9277,Cake
9277,Sandwich
9278,Cookies
9279,Cake
9279,Tea
9280,Cake
9280,Cookies
9280,Bread
9280,Juice
9281,Farm House
9282,Coffee
9283,Coffee
9283,Bread
9284,Coffee
9285,Tea
9286,Coffee
9286,Coffee
9286,NONE
9287,Coffee
9287,Coffee
9287,Pastry
9287,Sandwich
9288,Bread
9288,Scone
9289,Coffee
9289,Coffee
9289,Toast
9289,Granola
9290,Coffee
9290,Coffee
9290,Pastry
9290,Cake
9291,Tea
9292,Farm House
9293,NONE
9293,Coffee
9294,Coffee
9294,Pastry
9295,Coffee
9295,Truffles
9295,Pastry
9295,Bread
9296,Bread
9297,Coffee
9297,Coffee
9297,Coffee granules 
9298,The Nomad
9299,Bread
9300,Bread
9300,Cookies
9301,Bread
9302,Truffles
9303,Coffee
9303,Sandwich
9303,Cake
9304,Coffee
9304,Toast
9305,Tea
9305,Coffee
9305,Toast
9305,Scandinavian
9305,Farm House
9306,Bread
9307,Coffee
9308,Coffee
9309,NONE
9310,Scone
9310,Bread
9310,Spanish Brunch
9311,Coffee
9311,Coffee
9311,Cookies
9312,Mineral water
9312,Truffles
9312,Coke
9312,Scone
9313,Sandwich
9313,Soup
9314,Coffee
9315,Coffee
9315,Coffee
9315,Medialuna
9315,Cake
9316,Tea
9316,Sandwich
9317,Bread
9318,Coffee
9318,Coffee
9318,Sandwich
9319,Coffee
9319,Bread
9319,Scone
9320,Coffee
9321,Coffee
9321,Jammie Dodgers
9321,Juice
9322,Cookies
9323,Soup
9324,Bread
9324,Sandwich
9325,Tea
9325,Cookies
9326,Cookies
9326,Cake
9326,Tea
9327,Tea
9327,Coffee
9327,Alfajores
9328,Medialuna
9329,Scone
9329,Bread
9330,Tea
9330,Alfajores
9330,Toast
9331,Soup
9331,Coffee
9331,Medialuna
9332,Tiffin
9332,Cookies
9332,Hot chocolate
9333,Coffee
9334,Cookies
9335,Alfajores
9336,Bread
9337,Bread
9338,Tea
9338,Hot chocolate
9338,Cake
9338,Salad
9338,Coffee
9339,Coffee
9339,NONE
9340,Bread
9340,Mineral water
9341,Coffee
9341,Cookies
9342,Coffee
9342,Toast
9343,Cake
9343,Pastry
9344,Coffee
9345,Coffee
9346,Coffee
9346,NONE
9346,Extra Salami or Feta
9347,Bread
9347,Pastry
9348,Tea
9349,Coke
9350,Coffee
9351,Bread
9352,Coffee
9352,Coffee
9352,Pastry
9353,Coffee
9354,Coffee
9355,Coffee
9355,Coffee
9356,Bread
9356,Honey
9356,Jammie Dodgers
9357,Bread
9357,Coffee
9357,Jammie Dodgers
9358,Coffee
9358,Bread
9358,Bread
9359,Pastry
9359,Bread
9360,Coffee
9361,Eggs
9362,Bread
9362,Cake
9363,Coffee
9364,Bread
9365,Juice
9365,Bread
9366,Coffee
9366,NONE
9367,NONE
9367,Coffee
9368,Coffee
9368,NONE
9368,Extra Salami or Feta
9369,Coffee
9369,Coffee
9369,Coffee
9369,Bread
9370,Coffee
9371,Coffee
9371,Juice
9371,Mineral water
9371,Salad
9371,Sandwich
9371,Drinking chocolate spoons 
9372,Chicken Stew
9372,Mineral water
9372,Tea
9373,Coffee
9373,Bread
9374,Coffee
9374,Salad
9375,Bread
9376,Cookies
9377,Tea
9377,Soup
9377,Soup
9378,Coffee
9378,Bread
9378,Cake
9378,Juice
9378,Spanish Brunch
9378,Salad
9378,Extra Salami or Feta
9379,Coffee
