Transaction,Item
2368,Bread
2369,Bread
2369,Pastry
2369,Jam
2370,Hot chocolate
2371,Coffee
2371,Hot chocolate
2371,Pastry
2371,Bread
2372,Pastry
2372,Coffee
2373,Bread
2373,Tea
2373,Muffin
2373,Pastry
2374,Bread
2374,Coffee
2374,Coffee
2375,Coffee
2375,Pastry
2376,Tea
2376,NONE
2377,NONE
2377,Tea
2378,Tea
2378,The Nomad
2379,Coffee
2380,Medialuna
2381,Farm House
2382,Bread
2383,Coffee
2383,Coffee
2384,Farm House
2385,Bread
2385,Coffee
2385,Pastry
2385,Keeping It Local
2386,Bread
2386,Coffee
2387,Hearty & Seasonal
2388,Bread
2389,Fudge
2390,Scandinavian
2391,Bread
2391,Alfajores
2391,Bread
2392,Sandwich
2392,Coke
2392,Juice
2392,Coffee
2393,Farm House
2394,NONE
2395,Bread
2396,Coffee
2396,Medialuna
2397,Pastry
2397,Bread
2397,Coffee
2398,Sandwich
2398,Coffee
2399,Bread
2400,Muffin
2400,Bread
2401,Coffee
2402,Coffee
2402,Muffin
2403,Coffee
2404,Fudge
2404,Spread
2406,Bread
2407,Coffee
2407,Pastry
2407,Bread
2408,Coffee
2408,Cake
2409,Coffee
2410,Bread
2412,Tea
2413,Coffee
2414,Hot chocolate
2414,Coffee
2414,Cake
2415,Tea
2415,Bread
2416,Cake
2417,Medialuna
2418,Coffee
2418,Pastry
2419,Coffee
2420,Coffee
2421,Bread
2422,Coffee
2422,Cake
2423,Bread
2424,Coffee
2425,Coffee
2426,Tea
2427,Keeping It Local
2427,Coffee
2428,Sandwich
2428,Tea
2429,Coffee
2430,Coffee
2430,Coffee
2431,Coffee
2432,Bread
2433,Tea
2433,Bread
2434,Pastry
2434,Coffee
2435,Coffee
2435,Bread
2435,Pastry
2436,Coffee
2436,Medialuna
2437,Tea
2437,Coffee
2438,Bread
2439,Coffee
2440,Coffee
2440,Coffee
2440,Medialuna
2440,Pastry
2440,Cookies
2441,Bread
2441,Cake
2442,Bread
2442,Coffee
2443,Bread
2444,NONE
2444,Coffee
2445,Toast
2446,Hot chocolate
2446,Hot chocolate
2447,Fudge
2447,Scandinavian
2448,Medialuna
2448,Coffee
2449,Coffee
2449,Pastry
