Transaction,Item
5718,Bread
5718,Bread
5718,Bread
5719,Bread
5720,Coffee
5720,Bread
5721,Bread
5721,Pastry
5722,Bread
5723,Bread
5723,Coffee
5723,Toast
5725,Farm House
5726,Cake
5726,Coffee
5726,Bread
5727,Bread
5727,Hot chocolate
5728,Coffee
5728,Coffee
5729,Coffee
5729,Bread
5729,NONE
5730,Coffee
5730,Cake
5731,Cake
5731,Coffee
5732,Bread
5732,Sandwich
5732,Toast
5733,Coffee
5733,Coffee
5733,Medialuna
5734,Coffee
5734,Bread
5734,Alfajores
5734,Bakewell
5734,Tea
5735,Coffee
5735,Bread
5736,Bread
5737,Coffee
5737,Bread
5738,Bread
5738,Coffee
5738,Bread
5739,Bread
5740,Baguette
5741,Pastry
5742,Bread
5742,Pastry
5743,Baguette
5743,Bread
5744,Bread
5744,Pastry
5744,Tea
5744,Coffee
5745,Cake
5745,Bread
5746,Sandwich
5746,Coke
5747,Coke
5747,Cake
5748,Hot chocolate
5748,Coffee
5748,Pastry
5748,Bread
5749,Spanish Brunch
5749,Chicken Stew
5749,Tea
5749,Cookies
5751,Cake
5752,Coffee
5752,Coffee
5753,Coffee
5754,Bread
5755,Bread
5755,Sandwich
5756,Coffee
5756,Bread
5756,Sandwich
5757,Coffee
5757,Coffee
5757,Cake
5758,NONE
5758,Granola
5758,Extra Salami or Feta
5758,Coffee
5759,Soup
5759,Juice
5759,Coffee
5760,Sandwich
5761,Baguette
5762,Coffee
5763,Coffee
5764,Hot chocolate
5764,Coffee
5764,Alfajores
5765,Tea
5765,Coffee
5765,Bread
5766,Cake
5766,Coffee
5766,Cookies
5767,Bread
5768,Bread
5769,Cookies
5769,Tea
5769,Bread
5770,Coffee
5770,Vegan mincepie
5770,Cake
5771,Bread
5771,Coffee
5771,Hot chocolate
5772,Bread
5773,Juice
5773,Cookies
5773,Brownie
5773,Alfajores
5773,Coffee
5774,Tea
5774,Truffles
5774,Cookies
5775,Coffee
5775,Coke
5776,Bread
5777,Coffee
5777,Bread
5777,NONE
5777,Toast
5778,Bread
5778,Bread
5778,Coffee
5779,Cookies
5780,Coffee
5780,Bread
5781,Farm House
5782,Bread
5783,Coffee
5783,Cookies
5784,Baguette
5785,Bread
5785,Bread
5786,Alfajores
5787,Juice
5787,Hot chocolate
5787,Coffee
5787,Tea
5787,Pastry
5787,Brownie
5788,Coffee
5788,Coffee
5788,Bread
5789,Cake
5789,Coffee
5790,Coffee
5790,Cake
5791,Bread
5792,Bread
5792,Bread
5793,Juice
5793,Tea
5793,Bread
5793,Cake
5794,Tea
5794,Bread
5794,Cookies
5794,Sandwich
5794,Juice
5795,Bread
5795,Cake
5796,Coke
5796,Alfajores
5796,Hot chocolate
5797,Cake
5798,Sandwich
5799,Tea
5799,Cake
5799,Pastry
