Transaction,Item
4090,Bread
4094,Coffee
4095,Coffee
4095,Toast
4096,Farm House
4097,Bread
4097,Bread
4098,Coffee
4098,Coffee
4099,Coffee
4100,Coffee
4100,Coffee
4100,Toast
4101,Coffee
4101,Coffee
4101,Coffee
4102,Toast
4102,Bread
4103,Bread
4104,Coffee
4104,NONE
4105,Coffee
4105,Coffee
4105,Vegan mincepie
4105,Vegan mincepie
4106,Bread
4107,Coffee
4107,NONE
4108,Coffee
4108,Toast
4109,Coffee
4110,Cookies
4110,Cake
4110,Bread
4110,Coffee
4111,Tea
4111,Cake
4112,Bread
4113,NONE
4113,Coffee
4113,Hot chocolate
4113,NONE
4113,Cookies
4114,Coffee
4115,Cake
4116,Bread
4117,Juice
4117,Coffee
4117,Sandwich
4117,Sandwich
4118,Coffee
4119,Bread
4119,Coffee
4119,Frittata
4119,Cookies
4119,Mineral water
4120,Coffee
4120,Muffin
4120,NONE
4121,Sandwich
4121,Coffee
4121,Cake
4122,NONE
4123,NONE
4123,Coffee
4124,Coffee
4124,Coffee
4124,Vegan mincepie
4124,Cake
4125,Cake
4125,Cake
4125,Coffee
4126,Coffee
4127,Frittata
4127,Coffee
4128,Sandwich
4128,Cookies
4129,Tea
4130,Tea
4131,NONE
4131,Tea
4132,Bread
4132,Vegan mincepie
4133,Muffin
4133,Coffee
4133,Hot chocolate
4134,Bread
4135,Hot chocolate
4135,Coffee
4135,Cake
4136,Coffee
4138,Hot chocolate
4138,Sandwich
4139,Cake
4139,Muffin
4139,Coffee
4140,Coffee
4141,Coffee
4141,Hot chocolate
4141,Medialuna
4142,Medialuna
4142,Cake
4142,Coffee
4142,Coffee
4143,Bread
4144,Coffee
4144,Coffee
4144,Toast
4145,Bread
4146,Coffee
4146,NONE
4147,Bread
4148,Coffee
4148,Coffee
4149,Coffee
4149,Bread
4150,Coffee
4151,Coffee
4151,NONE
4152,Coffee
4152,Cake
4153,Coffee
4153,Bread
4154,Bread
4154,Cake
4155,Muesli
4155,Cookies
4155,Tea
4155,Coffee
4156,NONE
4156,Coke
4156,Pastry
4156,Cake
4157,NONE
4157,Sandwich
4157,Sandwich
4157,Coffee
4158,Juice
4158,NONE
4159,Coffee
4159,Juice
4159,Tea
4159,NONE
4159,Muffin
4159,NONE
4159,Sandwich
4160,Medialuna
4161,Pastry
4161,Hot chocolate
4161,Coffee
4161,Bread
4162,Farm House
4162,NONE
4162,Tea
4163,Bread
4163,Brownie
4164,Coffee
4164,Brownie
4165,Coffee
4165,Cookies
4166,Coffee
4166,Brownie
4167,Bread
4167,Cookies
4168,Hot chocolate
4169,Hot chocolate
4169,Coffee
4169,Pastry
4170,Bread
4170,Brownie
4171,Coffee
4171,Cake
4172,Brownie
4172,Tea
4172,Coffee
4173,Coffee
4173,Coffee
4174,Farm House
4175,Bread
4176,Bread
4177,Coffee
4178,Coffee
4179,Coffee
4180,Tea
4180,Toast
4181,Bread
4181,Medialuna
4182,Bread
4182,Toast
4183,Bread
4183,Coffee
4183,Medialuna
4184,Coffee
4184,Bread
4185,Hot chocolate
4185,Hot chocolate
4185,Muffin
4186,Bread
4186,Coffee
4186,Juice
4187,Hot chocolate
4187,Hot chocolate
4188,Bread
4188,Coffee
4189,Coffee
4189,Bread
4189,Truffles
4190,Brownie
4191,Juice
4191,Bread
4191,Muffin
4192,Farm House
4192,Brownie
4193,Coffee
4193,Bread
4194,NONE
4194,Coffee
4195,Farm House
4196,Juice
4196,Coffee
4196,Sandwich
4196,Ella's Kitchen Pouches
4197,Coffee
4197,Cake
4198,Tea
4198,Bread
4199,Coffee
4199,Coffee
4200,Coffee
4201,Cookies
4202,Vegan mincepie
4202,Cookies
4202,Sandwich
4202,Toast
4203,Bread
4204,Sandwich
4205,Bread
4206,Bread
4206,Cookies
4206,Frittata
4207,NONE
4208,Sandwich
4209,Coffee
4209,NONE
4210,Frittata
4210,Tea
4210,Truffles
4211,Coffee
4211,Truffles
4211,Frittata
4211,Pastry
4211,Fudge
4212,Juice
4212,Sandwich
4212,Sandwich
4213,Pastry
4214,Sandwich
4214,Medialuna
4215,Coffee
4215,Juice
4215,NONE
4215,NONE
4216,Bread
4217,Bread
4218,Brownie
4219,Bread
4220,Coffee
4221,NONE
4221,Eggs
4222,Bread
4223,Coffee
4223,Bread
4223,NONE
4224,Truffles
4224,Bread
4225,Toast
4225,Coffee
4225,Juice
4226,Coffee
4226,Coffee
4226,Bread
4227,Bread
4228,Coffee
4229,Bread
4230,Tea
4230,Toast
4231,Toast
4231,Coffee
4232,Bread
4233,Tea
4233,Coffee
4233,Coffee
4233,Toast
4234,Coffee
4234,Cookies
4234,Toast
4235,Bread
4236,Coffee
4236,Toast
4236,NONE
4237,Coffee
4237,Coffee
4237,Coffee
4237,Cookies
4237,Cookies
4237,NONE
4238,Coffee
4238,Medialuna
4239,Bread
4239,Cookies
4240,Coffee
4240,Toast
4241,Coffee
4241,Muffin
4242,Tea
4242,Cookies
4242,Cake
4242,Medialuna
4243,Medialuna
4243,Bread
4243,Coffee
4243,Coffee
4243,Scandinavian
4244,Medialuna
4244,Coffee
4245,Medialuna
4245,Coffee
4245,Bread
4245,Frittata
4245,Muffin
4246,Coffee
4246,Medialuna
4247,Coffee
4248,Bread
4249,Bread
4250,Coke
4251,Coffee
4251,Bread
4251,Bread
4252,Coffee
4253,Sandwich
4254,Bread
4255,NONE
4256,NONE
4256,Coffee
4257,Coffee
4257,Coffee
4257,Sandwich
4257,NONE
4258,Coffee
4258,Pastry
4259,Bread
4259,Cake
4260,Bread
4261,Bread
4262,NONE
4262,Sandwich
4263,Afternoon with the baker
4264,NONE
4264,Juice
4265,Coffee
4266,Farm House
4266,Scone
4267,Coffee
4268,Farm House
4269,Coffee
4269,Coffee
4269,Bread
4269,Pastry
4270,Coffee
4270,Frittata
4270,Bread
4270,Tea
4271,Pastry
4272,Bread
4272,Medialuna
4273,Coffee
4273,Coffee
4274,Bread
4275,Coffee
4275,Hot chocolate
4276,Bread
