Transaction,Item
7368,Coffee
7369,Coffee
7370,Coffee
7370,Tea
7370,Toast
7371,Coffee
7371,Coffee
7372,Bread
7373,Coffee
7373,Coffee
7373,Alfajores
7373,Pastry
7373,Pastry
7373,Juice
7374,Coffee
7374,Baguette
7375,Coffee
7375,Coffee
7375,Cake
7375,Pastry
7376,Tea
7376,Coffee
7377,Bread
7377,Pastry
7378,Bread
7378,Pastry
7379,Vegan mincepie
7379,Coffee
7379,Baguette
7380,Baguette
7381,Bread
7381,Coffee
7381,Tea
7382,Coffee
7382,Cake
7382,Cake
7382,Toast
7382,Juice
7383,Hot chocolate
7383,Truffles
7384,Coffee
7384,Toast
7385,Hot chocolate
7385,NONE
7386,Bread
7387,NONE
7387,Tea
7388,Chicken Stew
7389,Chicken Stew
7390,Soup
7390,Chicken Stew
7390,Tea
7390,Tea
7390,Bread
7391,Bread
7391,Pastry
7392,Mineral water
7392,NONE
7392,Salad
7393,NONE
7393,Duck egg
7393,Sandwich
7393,Soup
7393,Truffles
7393,Coffee
7394,Coffee
7394,Bread
7395,Hot chocolate
7395,Sandwich
7396,Bread
7397,Coffee
7397,Coffee
7397,Tea
7397,Tea
7397,Soup
7397,Chicken Stew
7397,Cake
7397,Cake
7398,Cookies
7398,Coffee
7399,Farm House
7400,Coffee
7400,Coffee
7400,Bread
7401,Tea
7401,Coke
7401,Truffles
7401,Bread
7402,Bread
7403,Cake
7403,Bread
7403,Tea
7404,Bread
7404,Smoothies
7405,Coffee
7406,Coffee
7406,Juice
7407,NONE
7407,Coffee
7408,Bread
7409,Tea
7409,Toast
7409,Coffee
7410,Jam
7410,Bread
7411,Coffee
7411,Pastry
7412,Bread
7413,Bread
7414,Tea
7414,Cake
7415,Bread
7415,Hot chocolate
7416,Coffee
7416,Coffee
7416,Cake
7417,Bread
7417,Pastry
7417,Hot chocolate
7417,Coffee
7418,Hot chocolate
7418,Coffee
7418,Cake
7419,Coffee
7419,Toast
7420,Cake
7420,Coffee
7421,Pastry
7421,Pastry
7421,Bread
7423,Coffee
7423,Coffee
7423,Tea
7424,Coffee
7424,Coffee
7424,Baguette
7425,Coffee
7425,Coffee
7425,Pastry
7426,Bread
7426,Pastry
7427,Bread
7428,Coffee
7428,Coffee
7428,Cookies
7429,Coffee
7429,Sandwich
7430,Tea
7431,Bread
7432,Bread
7433,Tea
7433,Tea
7434,Bread
7435,Coffee
7435,Coffee
7436,Chicken Stew
7437,Coffee
7437,Sandwich
7438,Coffee
7438,Hot chocolate
7438,Bread
7438,Pastry
7439,Coffee
7439,Coffee
7439,Bread
7440,Coffee
7440,Coffee
7440,Coffee
7440,Bread
7441,Hot chocolate
7441,Pastry
7442,Coffee
7442,Hot chocolate
7443,Coffee
7443,Tea
7444,Tea
7444,Tea
7445,Coffee
7445,Cake
7446,Coffee
7446,Cake
7447,Muffin
7447,Bread
7448,Tea
7448,Tea
7448,Pastry
7449,Cake
7450,Bread
7451,Bread
7452,Bread
7453,Bread
7453,Pastry
7454,Bread
7454,Bread
7455,Coffee
7456,Coffee
7456,Coffee
7456,Toast
7457,NONE
7457,Coffee
7457,Coffee
7458,Coffee
7458,Coffee
7459,Coffee
7459,Coffee
7459,Juice
7459,Cake
7459,Cookies
7460,Coffee
7461,Coffee
7461,Tiffin
7462,Bread
7463,Coffee
7464,Coffee
7464,Pastry
7464,Pastry
7465,Pastry
7465,Pastry
7465,Bread
7465,Sandwich
7465,Coffee
7466,Fudge
7467,Scandinavian
7468,Bread
7468,Hot chocolate
7469,Fudge
7469,Fudge
7469,Coffee
7469,Alfajores
7470,Coffee
7471,Coffee
7471,Coffee
7472,Tea
7473,Bread
7474,Bread
7475,Coffee
7475,Pastry
7476,Coffee
7476,Tea
7477,Sandwich
7478,Coffee
7478,Cake
7478,Tiffin
7479,Coffee
7480,Coffee
7480,Pastry
7480,Tea
7481,Coffee
7482,Coffee
7482,Coffee
7483,Chicken Stew
7483,Sandwich
7483,Mineral water
7484,Cookies
7484,Cake
7484,Bread
7485,Bread
7485,Pastry
7485,Coffee
7485,Eggs
7486,Bread
7487,Coffee
7487,Salad
7487,Sandwich
7488,Coffee
7488,Bread
7488,Pastry
7489,Bread
7489,Bread
7489,Coffee
7490,Chicken Stew
7490,Tea
7491,Cookies
7491,Sandwich
7491,Coffee
7491,Coffee
7492,Coffee
7492,Coffee
7492,Tiffin
7492,Alfajores
7493,Bread
7493,Pastry
7493,Pastry
7494,Tiffin
7494,Hot chocolate
7495,Spanish Brunch
7495,Duck egg
7495,Tea
7495,Bread
7496,Tea
7496,Soup
7496,Cookies
7497,Juice
7497,Muffin
7497,Cake
7497,Soup
7498,Sandwich
7498,Coffee
7498,Coke
7498,Smoothies
7499,Afternoon with the baker
7500,Coffee
7500,Coffee
7500,Sandwich
7501,Pastry
7501,Scone
7501,Bread
7502,Coffee
7502,Bread
7503,Bread
7504,Sandwich
7505,Coffee
7505,Cookies
7506,Scone
7507,Coffee
7508,Bread
7508,Bread
7508,Tiffin
7508,Sandwich
7509,Tea
7509,Juice
7509,Bread
7509,Afternoon with the baker
7510,Scone
7510,Coffee
7511,Cake
7512,Coffee
7512,Coffee
7512,Truffles
7512,Alfajores
7512,Scone
7513,Coffee
7514,Bread
7515,Coffee
7516,Coffee
7516,Scone
7516,Bread
7517,Bread
7518,Coffee
7519,Coffee
7519,Coke
7519,NONE
7519,Pastry
7520,Farm House
7520,Coffee
7520,Hot chocolate
7521,Bread
7521,Pastry
7522,Scone
7523,NONE
7523,Pastry
