Transaction,Item
1,Bread
2,Scandinavian
2,Scandinavian
3,Hot chocolate
3,Jam
3,Cookies
4,Muffin
5,Coffee
5,Pastry
5,Bread
6,Medialuna
6,Pastry
6,Muffin
7,Medialuna
7,Pastry
7,Coffee
7,Tea
8,Pastry
8,Bread
9,Bread
9,Muffin
10,Scandinavian
10,Medialuna
11,Bread
11,Medialuna
11,Bread
11,NONE
12,Jam
12,Coffee
12,Tartine
12,Pastry
12,Tea
13,Basket
13,Bread
13,Coffee
14,Bread
14,Medialuna
14,Pastry
15,NONE
15,NONE
15,Mineral water
15,Scandinavian
16,Bread
16,Medialuna
16,Coffee
17,Hot chocolate
18,Farm House
19,Farm House
19,Bread
20,Bread
20,Medialuna
21,Coffee
21,Coffee
21,Medialuna
21,Bread
22,Jam
23,Scandinavian
23,Muffin
24,Bread
25,Scandinavian
26,Fudge
27,Scandinavian
28,Coffee
28,Bread
29,Bread
29,Jam
29,NONE
30,Bread
31,Basket
32,Scandinavian
32,Muffin
33,Coffee
34,Coffee
34,Muffin
35,Muffin
35,Scandinavian
36,Tea
36,Bread
37,Coffee
37,Bread
37,NONE
38,Bread
38,Tea
39,Scandinavian
40,Juice
40,NONE
40,Tartine
40,Coffee
40,Muffin
41,Scandinavian
42,Bread
42,Tea
43,Scandinavian
43,Fudge
44,Coffee
44,Medialuna
45,Coffee
45,Hot chocolate
45,Medialuna
46,Coffee
47,Ella's Kitchen Pouches
47,Juice
47,Bread
47,Muffin
47,Jam
48,Coffee
49,Coffee
49,Coffee
49,Medialuna
50,Bread
50,Victorian Sponge
51,Bread
52,Scandinavian
54,Bread
55,Frittata
55,Coffee
55,Tea
55,Hearty & Seasonal
56,Coffee
56,Frittata
57,Scandinavian
58,Victorian Sponge
58,Hot chocolate
58,Tea
58,Soup
59,Tea
59,NONE
60,Cookies
60,Coffee
60,Juice
60,Coffee
61,Coffee
62,Pick and Mix Bowls
62,Hearty & Seasonal
62,Hearty & Seasonal
62,Coffee
62,Smoothies
62,Coffee
63,Coffee
64,Cake
65,NONE
65,Tartine
65,Mighty Protein
65,Tea
65,Coffee
66,Hearty & Seasonal
66,Frittata
66,Mineral water
67,Hearty & Seasonal
67,NONE
67,Mineral water
67,Muffin
68,Frittata
68,Coffee
68,Tea
68,Scandinavian
68,Chicken sand
69,Bread
69,Tea
69,Victorian Sponge
70,Fudge
71,Muffin
72,Coffee
72,Bread
73,Bread
74,Coffee
74,Bread
75,NONE
75,Jam
75,Frittata
76,Coffee
77,Scandinavian
78,Fudge
79,Fudge
79,Tea
79,Coffee
79,Muffin
80,Frittata
80,Bread
80,Coffee
81,Coffee
81,Cake
82,Tartine
82,NONE
82,Bread
83,Coffee
83,Bread
84,Bread
85,Coffee
85,Coffee
85,Pastry
85,Medialuna
86,Juice
87,Bread
88,Coffee
88,Coffee
88,Jam
89,Bread
90,Bread
90,Coffee
91,Tea
91,NONE
92,Coffee
93,Bread
93,Coke
94,Coffee
94,Coffee
95,Tea
95,Pastry
95,Farm House
96,Pastry
96,Pastry
96,Coffee
96,Juice
97,Coffee
97,Pastry
97,Juice
98,Farm House
99,Pastry
99,Pastry
99,Coffee
99,Bread
100,Bread
101,Coffee
101,Pastry
102,Farm House
103,NONE
103,Bread
104,Coffee
104,Coffee
104,Medialuna
104,Muffin
104,Coffee
105,Coffee
105,Tea
105,NONE
105,Cake
106,Coffee
106,Coffee
106,Pastry
106,Pastry
107,Coffee
107,Tea
108,Farm House
108,Muffin
109,Bread
109,Muffin
109,Pastry
110,Pastry
111,Coffee
112,Coffee
113,Coffee
113,Cake
114,Farm House
115,Bread
116,Coffee
117,Cookies
117,Cake
117,Coffee
117,My-5 Fruit Shoot
118,Cookies
118,Cookies
118,Tea
118,Pastry
119,Coffee
119,Coffee
119,Muffin
120,Farm House
121,Coffee
121,Bread
122,Cookies
123,Jam
123,NONE
123,Coffee
123,Coffee
123,Juice
124,Coffee
124,Soup
125,Tea
126,Coffee
126,Jam
127,Farm House
128,NONE
128,Tartine
128,Coffee
128,Tea
129,Coffee
129,Coffee
129,Cake
130,Coffee
130,Coffee
130,Muffin
131,Bread
131,Coffee
132,Tea
132,Juice
132,Pick and Mix Bowls
132,Cookies
133,Hearty & Seasonal
133,Soup
134,Hearty & Seasonal
134,Tea
134,Farm House
135,Bread
136,Tea
136,Soup
137,Farm House
138,Soup
138,Hearty & Seasonal
138,Coffee
139,Bread
139,Muffin
139,Hearty & Seasonal
140,Coffee
140,Coffee
140,Cookies
141,Bread
142,Tea
142,Muffin
143,Tea
144,Soup
144,Hearty & Seasonal
145,Coffee
145,Tea
145,Focaccia
146,Sandwich
147,Tartine
147,Coffee
148,Fudge
148,Coffee
148,Coffee
149,Coffee
150,Bread
151,Coke
151,Soup
152,Muffin
153,Tea
153,Coffee
153,Cookies
153,Muffin
154,Mighty Protein
154,Hearty & Seasonal
154,Coffee
154,Coke
155,Tea
155,Muffin
155,Sandwich
156,Coffee
156,Muffin
157,Coffee
157,Bread
158,Coffee
158,Muffin
159,Bread
159,Hot chocolate
159,Cookies
160,Mineral water
160,Muffin
161,Tea
162,Muffin
163,Coffee
163,Juice
164,Coffee
164,Muffin
165,Tea
166,Coffee
166,Muffin
167,Sandwich
167,Hearty & Seasonal
167,Bread
167,Mineral water
168,Tea
168,Coffee
169,Mineral water
170,Coffee
171,Soup
171,Tea
172,Bread
172,Coffee
173,Bread
173,Muffin
174,Coffee
175,Bread
176,Cookies
176,Coffee
