Transaction,Item
437,Medialuna
438,Bread
438,Tea
438,Jam
439,Farm House
440,Bread
441,Coffee
441,NONE
442,Medialuna
442,Coffee
443,Bread
444,Medialuna
444,Pastry
444,Medialuna
445,Coffee
445,Coffee
445,Jam
446,Bread
446,Coffee
447,Coffee
447,Coffee
448,Bread
449,Hot chocolate
450,Bread
450,Medialuna
451,Bread
451,Jam
452,Jam
452,Bread
453,Coffee
453,Bread
454,Bread
454,Farm House
455,Bread
455,Coffee
455,Coffee
456,Tea
456,Pastry
457,Coffee
457,Coffee
458,Bread
459,Pastry
459,Brownie
460,Farm House
461,Coffee
462,Tea
462,Coffee
462,Honey
462,Cookies
463,Tea
464,Bread
465,Brownie
466,Bread
466,Coffee
467,Bread
468,Coffee
469,Tea
469,Tea
470,Tea
471,Coffee
471,Coffee
473,Bread
473,Coffee
474,Bread
474,Bread
475,Bread
475,The BART
476,Coffee
476,NONE
476,Brownie
477,Coffee
478,Coffee
478,Brownie
479,Mineral water
479,Coffee
479,Coffee
479,Tartine
479,NONE
480,Brownie
480,Coffee
481,Brownie
481,Juice
482,Coffee
482,Coffee
482,Bread
482,Tea
482,Alfajores
482,Medialuna
482,Pastry
482,Jam
483,Bread
484,Fudge
484,Fudge
485,Coffee
485,Pick and Mix Bowls
486,Pastry
486,Bread
487,Soup
487,Scandinavian
487,Coffee
487,Mineral water
488,Juice
488,Mineral water
488,Sandwich
488,Pick and Mix Bowls
489,Bread
489,NONE
489,NONE
489,Pastry
489,Bread
490,Hearty & Seasonal
490,Hearty & Seasonal
490,Coffee
490,Coffee
491,Bread
491,Hearty & Seasonal
491,Coffee
491,Mineral water
492,Coffee
492,Tartine
492,Sandwich
492,Brownie
493,Coffee
493,Brownie
494,Alfajores
494,Coffee
494,Tartine
495,Mighty Protein
495,Coffee
497,Coffee
497,Hot chocolate
498,Soup
498,Jam
498,Coffee
498,Coffee
499,Mineral water
499,Brownie
500,Scandinavian
500,Coffee
501,Scandinavian
501,Coffee
502,Coffee
502,Coffee
503,Coffee
503,Coffee
503,Hot chocolate
503,Brownie
503,Hearty & Seasonal
504,Tea
504,Cake
505,Medialuna
506,Alfajores
506,Tea
506,Coffee
507,Coffee
507,Juice
507,Brownie
507,Alfajores
508,Coffee
508,Sandwich
509,Bread
509,Soup
510,Soup
510,Bread
511,Bread
512,Tea
512,Brownie
512,Cookies
513,Coffee
513,Bread
513,Brownie
514,Brownie
515,Cookies
515,Bread
515,Jam
516,Coffee
517,Tea
517,Brownie
517,Tea
518,Alfajores
518,Medialuna
518,Scandinavian
519,Hot chocolate
519,Coffee
519,Alfajores
519,Cookies
520,Brownie
521,Fudge
522,Tea
522,Brownie
523,Dulce de Leche
523,Fudge
1008,Bread
1009,Bread
1010,Bread
1010,Pastry
1010,Medialuna
1010,Coffee
1011,Coffee
1012,Bread
1012,Keeping It Local
1013,Bread
1014,Coffee
1014,Scandinavian
1015,Bread
1015,Farm House
1015,Pastry
1015,Medialuna
1016,Medialuna
1017,Coffee
1018,Bread
1018,Farm House
1019,Bread
1020,Keeping It Local
1020,Bread
1021,Bread
1021,Medialuna
1022,Tea
1023,Coffee
1023,Coffee
1023,Pastry
1023,Keeping It Local
1024,Coffee
1025,Tea
1026,Hot chocolate
1027,Tea
1027,Sandwich
1028,Bread
1029,Medialuna
1029,Muffin
1029,Brownie
1030,Coffee
1030,Muffin
1031,Bread
1032,Coffee
1032,Medialuna
1033,Coffee
1034,Coffee
1034,Medialuna
1035,Coffee
1036,Coffee
1036,Hot chocolate
1036,Brownie
1036,Bread
1037,Bread
1037,Bread
1038,NONE
1038,Bread
1039,Coffee
1039,Brownie
1040,Ella's Kitchen Pouches
1040,Coffee
1040,Coffee
1040,Medialuna
1040,Pastry
1041,Jam
1042,Bread
1043,Ella's Kitchen Pouches
1044,Coffee
1044,Coffee
1044,Muffin
1046,Tea
1046,Coffee
1046,Truffles
1047,Coffee
1048,Pastry
1048,Brownie
1049,Brownie
1049,Bread
1050,Bread
1050,Coffee
1051,Bread
1051,Pastry
1052,Alfajores
1052,Bread
1053,Brownie
1053,Muffin
1053,Scandinavian
1054,Coffee
1055,Fudge
1056,Tea
1056,Brownie
1057,Bread
1058,Bread
1058,Muffin
1059,Scandinavian
1060,Bread
1061,Coffee
1062,Bread
1063,Coffee
1063,Soup
1064,Soup
1065,Coffee
1065,Bread
1065,Coffee
1065,Alfajores
1065,Alfajores
1066,Farm House
