Transaction,Item
81,Coffee
81,Cake
82,Tartine
82,NONE
82,Bread
83,Coffee
83,Bread
84,Bread
85,Coffee
85,Coffee
85,Pastry
85,Medialuna
86,Juice
87,Bread
88,Coffee
88,Coffee
88,Jam
89,Bread
90,Bread
90,Coffee
91,Tea
91,NONE
92,Coffee
93,Bread
93,Coke
94,Coffee
94,Coffee
95,Tea
95,Pastry
95,Farm House
96,Pastry
96,Pastry
96,Coffee
96,Juice
97,Coffee
97,Pastry
97,Juice
98,Farm House
99,Pastry
99,Pastry
99,Coffee
99,Bread
100,Bread
101,Coffee
101,Pastry
102,Farm House
103,NONE
103,Bread
104,Coffee
104,Coffee
104,Medialuna
104,Muffin
104,Coffee
105,Coffee
105,Tea
105,NONE
105,Cake
106,Coffee
106,Coffee
106,Pastry
106,Pastry
107,Coffee
107,Tea
108,Farm House
108,Muffin
109,Bread
109,Muffin
109,Pastry
110,Pastry
111,Coffee
112,Coffee
113,Coffee
113,Cake
114,Farm House
115,Bread
116,Coffee
117,Cookies
117,Cake
117,Coffee
117,My-5 Fruit Shoot
118,Cookies
118,Cookies
118,Tea
118,Pastry
119,Coffee
119,Coffee
119,Muffin
120,Farm House
121,Coffee
121,Bread
122,Cookies
123,Jam
123,NONE
123,Coffee
123,Coffee
123,Juice
124,Coffee
124,Soup
125,Tea
126,Coffee
126,Jam
127,Farm House
128,NONE
128,Tartine
128,Coffee
128,Tea
129,Coffee
129,Coffee
129,Cake
130,Coffee
130,Coffee
130,Muffin
131,Bread
131,Coffee
132,Tea
132,Juice
132,Pick and Mix Bowls
132,Cookies
133,Hearty & Seasonal
133,Soup
134,Hearty & Seasonal
134,Tea
134,Farm House
135,Bread
136,Tea
136,Soup
137,Farm House
138,Soup
138,Hearty & Seasonal
138,Coffee
139,Bread
139,Muffin
139,Hearty & Seasonal
140,Coffee
140,Coffee
140,Cookies
141,Bread
142,Tea
142,Muffin
143,Tea
144,Soup
144,Hearty & Seasonal
145,Coffee
145,Tea
145,Focaccia
146,Sandwich
147,Tartine
147,Coffee
148,Fudge
148,Coffee
148,Coffee
149,Coffee
150,Bread
151,Coke
151,Soup
152,Muffin
153,Tea
153,Coffee
153,Cookies
153,Muffin
154,Mighty Protein
154,Hearty & Seasonal
154,Coffee
154,Coke
155,Tea
155,Muffin
155,Sandwich
156,Coffee
156,Muffin
157,Coffee
157,Bread
158,Coffee
158,Muffin
159,Bread
159,Hot chocolate
159,Cookies
160,Mineral water
160,Muffin
161,Tea
162,Muffin
163,Coffee
163,Juice
164,Coffee
164,Muffin
165,Tea
166,Coffee
166,Muffin
167,Sandwich
167,Hearty & Seasonal
167,Bread
167,Mineral water
168,Tea
168,Coffee
169,Mineral water
170,Coffee
171,Soup
171,Tea
172,Bread
172,Coffee
173,Bread
173,Muffin
174,Coffee
175,Bread
176,Cookies
176,Coffee
739,Coffee
739,Pastry
740,Farm House
740,Coffee
741,Bread
741,Scandinavian
741,Medialuna
742,Bread
743,Pastry
743,Tea
743,Alfajores
744,Pastry
744,Coffee
745,Bread
745,Pastry
745,Muffin
745,Farm House
746,Medialuna
746,Tea
747,Alfajores
748,Sandwich
748,Tea
749,Tea
749,Bread
750,Bread
750,Coffee
750,Pastry
751,Coffee
751,Coffee
751,Muffin
751,Alfajores
751,Empanadas
752,Coffee
753,Bread
754,Coffee
755,Coffee
756,Bread
757,Bread
757,Pastry
757,Medialuna
757,Tea
758,Tea
758,Bread
759,Muffin
760,Coffee
760,Muffin
761,Coffee
761,Bread
761,Pastry
761,Medialuna
762,Coffee
762,Coffee
762,Muffin
763,Muffin
763,Hot chocolate
763,Scandinavian
763,Bread
764,Farm House
765,Muffin
766,Coffee
767,Bread
768,Coffee
768,Coffee
768,Cookies
769,Coffee
769,Coffee
770,Muffin
771,Coffee
771,Tea
771,Keeping It Local
772,Coffee
772,Medialuna
773,Bread
774,Tartine
774,Scandinavian
775,Coffee
775,Tea
776,Bread
777,Coffee
777,Coke
778,Coffee
778,Muffin
779,Coffee
779,Bread
779,Coffee
779,Medialuna
779,Muffin
779,Scandinavian
780,Bread
781,Coke
782,Bread
782,Scandinavian
783,Coffee
784,Bread
785,Scandinavian
785,Bread
786,Fudge
786,Fudge
787,Soup
787,Hearty & Seasonal
787,Coffee
788,Coke
789,NONE
789,Coffee
789,Cookies
789,Tea
790,Pastry
790,Tea
790,Coffee
791,Bread
792,Coffee
792,Medialuna
793,Coffee
793,Coffee
793,Muffin
793,Sandwich
793,Soup
794,Tea
794,Coffee
794,Muffin
795,Alfajores
796,Bread
797,Coffee
797,Medialuna
798,Coffee
799,Coffee
800,Medialuna
802,Empanadas
802,Bread
802,Scandinavian
