Transaction,Item
524,Bread
524,Scandinavian
524,Fudge
524,Granola
524,Pastry
524,Coffee
525,Bread
525,Fudge
526,Hot chocolate
526,Coffee
526,NONE
526,Medialuna
526,Medialuna
527,Bread
528,Bread
528,Medialuna
529,Bread
529,Coffee
529,Medialuna
529,Jam
530,Jam
530,Coffee
530,Brownie
531,Bread
531,Coffee
531,Jam
532,Scandinavian
533,Coffee
533,Cookies
534,Coffee
534,Coffee
534,Scandinavian
535,Bread
536,Bread
537,NONE
537,Jam
537,Brownie
537,Coffee
537,Coffee
538,Coffee
539,Brownie
539,Hot chocolate
540,Bread
541,Bread
541,Bread
541,Medialuna
542,Coffee
542,Hot chocolate
542,Brownie
543,Scandinavian
544,NONE
544,Basket
544,Bread
545,Coffee
545,Bread
545,Brownie
546,Cake
546,Fudge
547,Coffee
547,Hot chocolate
547,Coffee
547,Basket
548,Scandinavian
549,Scandinavian
550,Coffee
550,Bread
550,Coffee
550,Cake
550,Medialuna
551,Coffee
551,Coffee
551,Medialuna
552,Bread
552,Pastry
553,Bread
553,Brownie
554,Medialuna
554,Farm House
555,Bread
555,Medialuna
556,Brownie
556,Medialuna
556,Hot chocolate
556,Smoothies
556,Coffee
557,Bread
557,Tea
557,Coffee
557,Brownie
557,Medialuna
558,Medialuna
558,Medialuna
558,Cookies
559,Coffee
559,Medialuna
560,Bread
560,Fudge
562,Coffee
562,Tea
563,Coffee
563,Cookies
564,Pastry
564,Bread
564,Brownie
565,Bread
565,Coffee
565,Bread
566,NONE
566,Coffee
566,Coffee
566,Tea
567,Bread
568,Medialuna
568,Coffee
569,My-5 Fruit Shoot
569,Coffee
569,Brownie
570,Coffee
570,Fudge
571,Coffee
572,Coffee
572,Basket
573,Farm House
574,Farm House
575,Coffee
575,Brownie
576,Scandinavian
576,Brownie
576,My-5 Fruit Shoot
577,NONE
577,Tartine
577,Coffee
577,Hot chocolate
577,Brownie
578,Brownie
578,Bread
578,Hot chocolate
579,Jam
579,Fudge
580,Coffee
581,Fudge
583,Mighty Protein
583,Hearty & Seasonal
583,Coffee
583,Tea
583,Cake
584,Coffee
585,Scandinavian
586,Cake
586,Victorian Sponge
586,Scandinavian
587,Tea
587,Cake
588,Coffee
588,Coffee
589,Coffee
589,Coffee
590,Bread
591,Frittata
592,Coffee
592,Coffee
592,My-5 Fruit Shoot
592,Brownie
593,Focaccia
593,Fairy Doors
594,NONE
594,Tea
594,Coffee
594,Coffee
594,NONE
595,Hot chocolate
595,Hearty & Seasonal
595,Pick and Mix Bowls
595,Brownie
596,Frittata
596,Coffee
597,Bread
597,Brownie
598,Frittata
599,Scandinavian
600,Bread
601,Farm House
602,Pick and Mix Bowls
602,Jam
602,Soup
602,Brownie
603,Hearty & Seasonal
603,Coffee
603,Tea
604,Bread
605,Bread
605,Frittata
606,Scandinavian
608,NONE
608,Tartine
608,Hot chocolate
608,Coffee
609,Coffee
609,Mighty Protein
610,Frittata
610,Coffee
611,Scandinavian
612,Hearty & Seasonal
612,Coffee
612,Mineral water
613,Scandinavian
615,Bread
615,Coffee
616,Hearty & Seasonal
616,Soup
616,Bread
616,Coffee
617,Brownie
617,Cake
617,Tea
618,Mighty Protein
618,Coffee
620,Coffee
620,Tea
620,Brownie
620,Soup
621,Cake
622,Hot chocolate
622,Coffee
622,Cake
623,Hearty & Seasonal
623,Coffee
624,Coffee
625,Frittata
625,Coffee
625,Brownie
626,Sandwich
626,Frittata
626,Coke
626,Mineral water
626,Brownie
627,Granola
627,Scandinavian
628,Coffee
628,Coke
628,Coffee
629,Tea
629,Tea
629,Brownie
629,Cake
630,Fudge
631,Coffee
632,Brownie
633,Cake
634,Tea
635,Coffee
635,Coffee
635,Coffee
635,Soup
635,Sandwich
635,Cake
636,Coffee
636,Bread
