Transaction,Item
1,Bread
2,Scandinavian
2,Scandinavian
3,Hot chocolate
3,Jam
3,Cookies
4,Muffin
5,Coffee
5,Pastry
5,Bread
6,Medialuna
6,Pastry
6,Muffin
7,Medialuna
7,Pastry
7,Coffee
7,Tea
8,Pastry
8,Bread
9,Bread
9,Muffin
10,Scandinavian
10,Medialuna
11,Bread
11,Medialuna
11,Bread
11,NONE
12,Jam
12,Coffee
12,Tartine
12,Pastry
12,Tea
13,Basket
13,Bread
13,Coffee
14,Bread
14,Medialuna
14,Pastry
15,NONE
15,NONE
15,Mineral water
15,Scandinavian
16,Bread
16,Medialuna
16,Coffee
17,Hot chocolate
18,Farm House
19,Farm House
19,Bread
20,Bread
20,Medialuna
21,Coffee
21,Coffee
21,Medialuna
21,Bread
22,Jam
23,Scandinavian
23,Muffin
24,Bread
25,Scandinavian
26,Fudge
27,Scandinavian
28,Coffee
28,Bread
29,Bread
29,Jam
29,NONE
30,Bread
31,Basket
32,Scandinavian
32,Muffin
33,Coffee
34,Coffee
34,Muffin
35,Muffin
35,Scandinavian
36,Tea
36,Bread
37,Coffee
37,Bread
37,NONE
38,Bread
38,Tea
39,Scandinavian
40,Juice
40,NONE
40,Tartine
40,Coffee
40,Muffin
41,Scandinavian
42,Bread
42,Tea
43,Scandinavian
43,Fudge
44,Coffee
44,Medialuna
45,Coffee
45,Hot chocolate
45,Medialuna
46,Coffee
47,Ella's Kitchen Pouches
47,Juice
47,Bread
47,Muffin
47,Jam
48,Coffee
49,Coffee
49,Coffee
49,Medialuna
50,Bread
50,Victorian Sponge
51,Bread
52,Scandinavian
54,Bread
55,Frittata
55,Coffee
55,Tea
55,Hearty & Seasonal
56,Coffee
56,Frittata
57,Scandinavian
58,Victorian Sponge
58,Hot chocolate
58,Tea
58,Soup
59,Tea
59,NONE
60,Cookies
60,Coffee
60,Juice
60,Coffee
61,Coffee
62,Pick and Mix Bowls
62,Hearty & Seasonal
62,Hearty & Seasonal
62,Coffee
62,Smoothies
62,Coffee
63,Coffee
64,Cake
65,NONE
65,Tartine
65,Mighty Protein
65,Tea
65,Coffee
66,Hearty & Seasonal
66,Frittata
66,Mineral water
67,Hearty & Seasonal
67,NONE
67,Mineral water
67,Muffin
68,Frittata
68,Coffee
68,Tea
68,Scandinavian
68,Chicken sand
69,Bread
69,Tea
69,Victorian Sponge
70,Fudge
71,Muffin
72,Coffee
72,Bread
73,Bread
74,Coffee
74,Bread
75,NONE
75,Jam
75,Frittata
76,Coffee
77,Scandinavian
78,Fudge
79,Fudge
79,Tea
79,Coffee
79,Muffin
80,Frittata
80,Bread
80,Coffee
648,Bread
650,Coffee
650,Pastry
650,Bread
651,NONE
651,Coffee
651,Mineral water
652,Pastry
652,Bread
652,Hot chocolate
653,Bread
654,Bread
655,Jam
655,Coffee
655,Coffee
655,Bread
656,NONE
656,Coffee
656,Coffee
656,Pastry
657,NONE
657,Medialuna
657,Coffee
657,Coffee
657,Focaccia
657,Hearty & Seasonal
658,Bread
658,Farm House
658,Coffee
658,Jam
659,Farm House
660,Coffee
660,Tea
660,Pastry
660,Medialuna
661,Pastry
661,Medialuna
661,Coffee
662,Coffee
662,Hot chocolate
662,Basket
662,Farm House
663,Pastry
663,Farm House
664,Hot chocolate
664,Coffee
664,My-5 Fruit Shoot
665,Pastry
665,Medialuna
665,Muffin
666,Farm House
667,Muffin
667,Pastry
667,Focaccia
668,Coffee
668,Tea
669,Bread
670,Focaccia
671,Coffee
671,Hot chocolate
671,Pastry
671,Jam
672,Bread
673,Coffee
673,Pastry
673,Bread
674,Tea
674,NONE
675,Hot chocolate
675,Coffee
675,Mineral water
676,Coffee
676,Coffee
677,Coffee
678,NONE
678,Jam
678,Coffee
678,Coffee
680,Muffin
681,Bread
682,Bread
683,Bread
684,NONE
684,Muffin
684,Hot chocolate
684,Coffee
685,Muffin
685,Fudge
686,Bread
687,Bread
688,Farm House
689,Coffee
689,Muffin
690,Focaccia
691,Bread
691,Tea
692,Coffee
692,Hot chocolate
693,Coffee
693,Tartine
693,Coffee
693,Pick and Mix Bowls
693,Jam
695,Jam
696,Tartine
697,Bread
697,Coffee
698,Coffee
698,Coffee
698,Mineral water
698,Juice
698,Tartine
698,Pick and Mix Bowls
699,Bread
699,Tea
699,Juice
700,Coffee
700,Coffee
700,Cake
701,Farm House
702,Farm House
703,Cake
703,Brownie
703,Coffee
703,Coffee
704,Focaccia
704,Coffee
705,Tea
705,Coffee
705,Muffin
706,Coffee
707,Tea
707,Coffee
708,Hearty & Seasonal
708,Cake
708,Coffee
709,Bread
709,Tea
709,Cake
710,Mighty Protein
710,Coffee
711,Hot chocolate
711,Muffin
712,Coffee
712,Coffee
712,Soup
712,Mighty Protein
713,Jam
714,Coffee
714,Alfajores
715,Cake
715,Hot chocolate
715,Alfajores
716,Hot chocolate
716,Tea
716,Muffin
717,Brownie
718,Cake
718,Coffee
719,Victorian Sponge
719,Alfajores
719,Tea
720,Bread
721,Tartine
721,Tea
721,Tartine
722,Mighty Protein
722,Tea
723,Bread
723,Fudge
724,Medialuna
724,Tartine
724,Coffee
725,Pastry
725,Bread
726,Pastry
726,Bread
727,Coffee
727,Tea
727,Alfajores
727,Alfajores
728,Alfajores
728,Alfajores
728,Coffee
729,Coffee
729,Alfajores
730,Alfajores
730,Pastry
732,Alfajores
733,Pastry
733,Tea
733,Alfajores
733,Hearty & Seasonal
734,Tea
734,Sandwich
735,Empanadas
735,Tea
736,Alfajores
736,Alfajores
736,Tea
737,Alfajores
738,Pastry
738,Dulce de Leche
1201,Tartine
1201,Coffee
1201,Tea
1202,Coffee
1203,Coffee
1203,Tea
1203,NONE
1204,Medialuna
1204,Coffee
1205,Medialuna
1205,Bread
1205,Coffee
1205,Pastry
1205,NONE
1205,Farm House
1206,Bread
1206,Pastry
1206,Bread
1207,Medialuna
1207,Coffee
1207,Bread
1208,Pastry
1209,Bread
1210,Medialuna
1210,Pastry
1210,Bread
1211,Coffee
1211,Keeping It Local
1212,Bread
1212,Farm House
1212,Jam
1212,Pastry
1213,Bread
1214,Coffee
1214,Medialuna
1215,Coffee
1216,NONE
1216,Tea
1216,Bread
1217,Bread
1217,Pastry
1218,Hearty & Seasonal
1219,Scandinavian
1220,Coffee
1220,Hot chocolate
1220,Pastry
1221,Bread
1221,Muffin
1222,Coffee
1222,Keeping It Local
1223,Bread
1223,Coffee
1223,Medialuna
1224,Coffee
1224,Pastry
1224,Bread
