Transaction,Item
340,Coffee
340,Bread
341,Medialuna
341,Medialuna
342,Medialuna
342,Bread
343,Farm House
344,Coffee
344,Pastry
345,Farm House
346,NONE
346,Coffee
346,Coffee
346,Pastry
346,Pastry
346,Coffee
347,Medialuna
348,Bread
348,NONE
348,Tea
348,Sandwich
349,Bread
350,Jam
350,Coffee
350,Farm House
351,Focaccia
352,Bread
353,Tartine
353,Pastry
353,Bread
353,My-5 Fruit Shoot
354,Farm House
354,Pastry
355,Bread
355,Pastry
356,Pastry
356,Bread
357,Jam
357,Coffee
358,Farm House
359,Bread
359,Pastry
360,Coffee
360,Tea
360,Bread
361,Jam
363,Pastry
363,Medialuna
363,Medialuna
364,Coffee
365,Tea
366,Bread
367,Bread
367,Pastry
368,Pastry
369,Farm House
370,Tea
371,Coffee
371,Brownie
371,Alfajores
371,Fudge
372,Bread
372,Fudge
372,Cookies
373,Coffee
374,Bread
375,Coffee
375,Coffee
375,Jam
375,Pastry
376,Soup
376,Coffee
377,Smoothies
377,Soup
377,Hearty & Seasonal
377,Pastry
378,Pastry
378,Bread
379,Pastry
379,Medialuna
380,NONE
380,Tea
380,Coffee
381,Bread
381,Cookies
382,Coffee
382,Coffee
382,Bread
382,Hearty & Seasonal
382,Pick and Mix Bowls
382,Sandwich
382,Focaccia
383,Coffee
384,Coffee
384,Sandwich
384,Brownie
385,Brownie
385,Cookies
386,Coffee
387,Coffee
387,NONE
388,Sandwich
388,NONE
388,Bread
388,Coffee
389,Coffee
389,Hot chocolate
390,Tea
390,NONE
391,Sandwich
391,Coffee
391,Brownie
392,Brownie
392,Pastry
392,Focaccia
392,Farm House
393,Cake
393,Focaccia
394,Soup
394,Hearty & Seasonal
394,Mineral water
395,Hearty & Seasonal
396,Hearty & Seasonal
397,Coffee
397,Coffee
397,Pastry
398,Coffee
399,Tea
399,Cake
400,Coffee
400,Soup
401,Bread
401,Focaccia
401,Fudge
402,Hot chocolate
402,Coffee
402,Alfajores
403,Brownie
403,Pastry
403,Cake
404,Medialuna
404,Alfajores
404,Dulce de Leche
405,Dulce de Leche
405,Alfajores
406,Bread
406,Cake
407,Cake
407,Coffee
408,Bread
409,Sandwich
410,Bread
410,Coffee
410,Alfajores
410,Medialuna
411,Coffee
412,Bread
412,Alfajores
413,Tea
413,Coffee
414,Bread
415,Dulce de Leche
416,Farm House
417,Fudge
418,Coffee
419,Coffee
419,Alfajores
419,Juice
419,Ella's Kitchen Pouches
419,Brownie
420,Alfajores
421,Alfajores
421,Brownie
421,Cookies
421,Bread
421,Juice
422,Cake
422,Cookies
423,Pick and Mix Bowls
424,Coffee
425,Farm House
426,Tea
427,Coffee
428,Focaccia
428,Farm House
429,Dulce de Leche
430,Juice
430,My-5 Fruit Shoot
430,Ella's Kitchen Pouches
430,Cookies
431,Bread
432,Hot chocolate
433,Coffee
435,Coffee
436,Coffee
939,Coffee
940,Medialuna
940,Coffee
941,Bread
942,Bread
943,Coffee
943,Pastry
944,Farm House
945,Medialuna
945,Brownie
946,Bread
946,Pastry
946,Brownie
947,Pastry
947,Bread
947,Cookies
948,Bread
948,Bread
949,Cookies
949,Pastry
949,Coffee
949,Juice
950,Pastry
950,Cookies
950,Coffee
951,Coffee
951,Medialuna
952,Bread
953,Tartine
953,Coffee
954,Coffee
954,Medialuna
955,Bread
956,Bread
956,Coffee
956,Alfajores
956,Cookies
957,Bread
957,Coffee
957,Coffee
958,Bread
959,Bread
959,Coffee
959,Tea
959,Keeping It Local
959,Jam
959,Cookies
960,Pastry
960,Coffee
960,Juice
961,Medialuna
961,Bread
961,Focaccia
962,Pastry
962,Medialuna
962,Coffee
963,Coffee
964,Coffee
965,Coffee
965,Cookies
965,Truffles
965,Brownie
965,Bread
966,Art Tray
966,Tea
967,Bread
968,Coffee
969,Coffee
969,Cookies
970,Brownie
971,Bread
971,Tea
971,Empanadas
972,Bread
972,Hot chocolate
973,Coffee
973,Cookies
974,Bread
975,Tartine
975,Sandwich
975,Tea
975,Bread
976,Soup
976,Sandwich
976,Bread
977,Soup
977,Bread
978,Fudge
979,Coffee
980,Coffee
980,Empanadas
980,Soup
981,Bread
981,Coffee
981,Brownie
982,Coffee
982,Smoothies
982,Juice
982,Soup
982,Hearty & Seasonal
983,Alfajores
983,Sandwich
983,Hot chocolate
983,Coffee
983,Scandinavian
983,Cookies
984,Tea
984,Coffee
985,Bread
985,Cookies
986,Alfajores
986,Cookies
986,Bread
986,Bread
987,Tea
987,Brownie
988,Tea
988,Bread
989,Coffee
989,Alfajores
990,Bread
991,Empanadas
991,Coffee
992,Bread
993,Coffee
993,Hot chocolate
994,Coffee
995,Coffee
995,Brownie
996,Tea
996,Hot chocolate
996,Brownie
996,Truffles
997,Coffee
997,Keeping It Local
998,Coffee
999,Alfajores
1000,Scandinavian
1000,Chimichurri Oil
1001,Bread
1001,Truffles
1002,Brownie
1002,Focaccia
1003,Coffee
1003,Bread
1004,Coffee
1004,Tea
1004,Art Tray
1004,Cookies
1005,Coffee
1006,Bread
1007,Coffee
1007,Alfajores
1007,Alfajores
1007,Coke
1475,Coffee
1475,Medialuna
1476,Siblings
1477,Siblings
1478,Bread
1478,Medialuna
1479,Medialuna
1479,Pastry
1479,NONE
1480,Keeping It Local
1480,Tea
1482,Farm House
1483,Pastry
1484,Farm House
1485,NONE
1485,Tea
1486,Tea
1486,NONE
1486,Scandinavian
1487,Coffee
1487,Muffin
1488,Coffee
1490,Bread
1491,Farm House
1491,Scandinavian
1491,Coffee
1491,Pastry
1492,Coffee
1493,Coffee
1493,Keeping It Local
1494,NONE
1494,Bread
1495,Jam
1496,Alfajores
1496,Medialuna
1496,Coffee
1496,Bread
1497,Coffee
