Transaction,Item
178,Coffee
178,Pastry
179,Coffee
179,Pastry
180,Jam
180,Tea
181,Tea
181,Tea
182,Pastry
182,Pastry
182,Ella's Kitchen Pouches
183,Pastry
184,Farm House
184,NONE
184,Tea
185,Tea
185,Victorian Sponge
186,Tea
186,Pastry
187,Bread
188,Coffee
189,Bread
189,Coffee
190,Coffee
190,Pastry
190,Pastry
191,Soup
191,Tea
192,NONE
192,Bread
193,Coffee
194,Bread
194,Bread
195,Bread
195,NONE
195,Scandinavian
196,Bread
196,Cake
196,Cookies
197,Coffee
197,Coffee
197,Tea
198,Coffee
198,Cookies
199,Coffee
200,Bread
201,NONE
201,Coffee
201,Pastry
202,Coffee
202,Coffee
203,Coffee
204,Scandinavian
204,Bread
205,Coffee
205,Coffee
205,Pastry
206,Scandinavian
206,Coffee
206,Pastry
207,Hearty & Seasonal
207,Coffee
207,Muffin
208,Bread
209,Coffee
210,Scandinavian
211,Soup
211,Coffee
212,Coffee
212,Cookies
212,Tartine
213,Bread
214,Bread
214,Tea
214,Tea
215,Pastry
215,Coffee
216,Tartine
216,Coffee
217,Bread
217,Cookies
218,Sandwich
219,Tartine
220,Bread
220,Pastry
221,Bread
221,Scandinavian
222,Scandinavian
223,Alfajores
223,Coffee
224,Coffee
225,Coffee
225,Coke
225,Soup
226,Cake
227,Tea
227,Sandwich
227,Soup
228,Coffee
229,Hearty & Seasonal
229,Bread
230,Alfajores
231,Cake
232,Tea
232,Tea
232,Bread
233,Coffee
233,Tea
233,Bread
233,Soup
234,Coffee
234,Coffee
235,Scandinavian
236,Fudge
237,Coffee
237,Sandwich
238,Tea
238,Bread
238,Cookies
238,Pastry
239,Muffin
240,Scandinavian
241,Jam
241,Tea
242,Juice
242,Tea
242,Alfajores
243,Cake
243,Muffin
243,Coffee
243,Soup
244,Hot chocolate
244,Cake
244,Coffee
245,Cake
245,Cookies
246,Tea
246,Bread
247,Alfajores
247,Coffee
247,Coffee
247,Coffee
247,Juice
248,Coffee
248,Tea
248,Soup
249,Hot chocolate
250,Cookies
251,Coffee
251,Medialuna
252,Bread
252,Eggs
253,Scandinavian
254,Medialuna
815,Coffee
815,Pastry
816,Bread
817,Pastry
817,Tea
818,Coffee
818,Coffee
818,Pastry
819,Coffee
819,Bread
820,Coffee
820,Keeping It Local
821,Fudge
822,NONE
822,Tartine
822,Coffee
822,Coffee
824,Hot chocolate
824,Coffee
824,Pastry
824,Medialuna
825,Alfajores
825,Coffee
826,Coffee
828,Coffee
828,Coffee
828,Medialuna
829,Coke
830,Coffee
830,Coffee
830,Alfajores
831,Muffin
832,Farm House
832,Brownie
832,Fudge
833,Coffee
833,Coffee
834,Tea
834,Muffin
834,Farm House
835,Coffee
835,Pastry
836,Pastry
836,Brownie
837,Medialuna
838,Coffee
839,Pastry
839,Coffee
839,Juice
840,Coffee
840,Bread
841,Tea
841,Coffee
842,Tea
842,Alfajores
843,Alfajores
843,Coffee
844,Scandinavian
845,Pastry
845,Medialuna
846,Brownie
847,Farm House
848,Coffee
848,Cookies
849,Soup
850,Art Tray
850,Coffee
850,Coffee
850,Brownie
851,Coffee
852,Farm House
853,Soup
853,Art Tray
853,Alfajores
853,Frittata
854,Sandwich
854,Coffee
855,Tea
856,Farm House
857,Scandinavian
857,Muffin
858,Farm House
859,Scandinavian
860,Soup
861,Hearty & Seasonal
861,Tea
861,Bread
862,Hot chocolate
863,Coffee
863,Sandwich
863,Hearty & Seasonal
864,Brownie
864,Hearty & Seasonal
864,Sandwich
864,Coffee
865,Medialuna
865,Coffee
866,Coffee
866,Brownie
866,Soup
867,Sandwich
867,Sandwich
867,Alfajores
867,Alfajores
867,Focaccia
868,Farm House
868,Tartine
869,Bread
870,Coffee
871,Hot chocolate
871,Tea
871,Muffin
872,Pastry
873,Coffee
873,Brownie
873,Hearty & Seasonal
873,Soup
873,Bowl Nic Pitt
874,Coffee
875,Alfajores
875,Medialuna
875,Scandinavian
875,Farm House
876,Soup
876,Coffee
877,Tea
877,Tea
878,Coffee
878,Tea
878,Cookies
879,Tea
879,Muffin
880,Coffee
880,Coffee
880,Brownie
881,Coffee
882,Coffee
883,Coffee
884,Farm House
885,Coffee
885,Bread Pudding
886,Coffee
886,Medialuna
887,Hot chocolate
888,Coffee
888,Hot chocolate
888,Farm House
1342,Coffee
1342,Medialuna
1343,Bread
1343,Keeping It Local
1344,Coffee
1345,Bread
1346,Medialuna
1346,Tea
1346,Coffee
1347,Hot chocolate
1348,Coffee
1349,Coke
1350,Coffee
1351,Farm House
1352,Coffee
1352,Coffee
1352,Keeping It Local
1352,Bread
1353,Coffee
1353,Truffles
1354,Coffee
1355,Coffee
1355,Tea
1355,Keeping It Local
1356,Coffee
1356,Keeping It Local
1357,Coffee
1357,Tea
1358,Coffee
1359,Coffee
1360,Coffee
1360,Bread
1361,Coffee
1361,NONE
1362,Bread
1363,Farm House
1364,Coffee
1364,Kids biscuit
1365,Tea
1365,Muffin
1366,Bread
1367,Coffee
1367,Pastry
1368,Scandinavian
1368,Coffee
1368,Soup
1369,Scandinavian
1369,Pastry
1369,Muffin
1370,Coffee
1370,Pastry
1371,Soup
1371,Hearty & Seasonal
1371,Tea
1372,Bread
1372,Scandinavian
1373,Scandinavian
1373,Bread
1373,Truffles
1374,Coffee
1374,Coffee
1374,Soup
1375,Medialuna
1375,Medialuna
1376,Coffee
1376,Coffee
1376,Medialuna
1376,Medialuna
1376,Bread
1377,Bread
1378,Coffee
1378,Bread
1379,Soup
1379,Sandwich
1380,Sandwich
1380,Hearty & Seasonal
1380,Coffee
1381,Soup
1382,Bread
1383,Soup
1383,Coffee
1383,Pastry
1384,Pastry
1384,Coffee
1384,Coffee
1386,Coffee
1386,Coffee
