Transaction,Item
255,Coffee
255,Coffee
255,Pastry
256,Coffee
256,Bread
257,Bread
257,Coffee
257,Pastry
257,NONE
258,Coffee
258,Pastry
259,Pastry
260,Coffee
261,Coffee
262,Coffee
262,Hot chocolate
262,Pastry
263,Coke
264,Coffee
264,Jam
265,Tea
266,NONE
266,Bread
266,Pastry
267,Coffee
267,Alfajores
267,Farm House
268,Tea
268,Pastry
269,Bread
270,Coffee
270,Jam
271,Coffee
271,Tea
271,Coffee
271,Pastry
272,Farm House
274,Coffee
274,NONE
274,Bread
274,Pastry
275,Farm House
276,Coffee
276,Coffee
276,Pastry
277,Farm House
278,Coffee
278,Pastry
279,NONE
279,Coffee
280,Coffee
280,Pastry
281,Bread
281,Bread
282,Bread
282,Coffee
282,Pastry
283,Pastry
283,Coffee
284,Coffee
284,Farm House
285,Farm House
285,Farm House
285,Pastry
286,Bread
286,Juice
286,Alfajores
287,Coffee
287,Pastry
288,Bread
288,Alfajores
289,Bread
290,Coffee
290,Cookies
291,Coffee
292,Cookies
293,Hearty & Seasonal
294,Coffee
295,Jam
295,Tartine
295,Bread
296,Farm House
296,Scandinavian
297,Hearty & Seasonal
297,Coffee
297,Muffin
297,Scandinavian
298,Tartine
298,Pick and Mix Bowls
298,NONE
298,Coffee
298,Coke
299,Bread
300,Scandinavian
300,Farm House
300,Alfajores
300,Coffee
300,Coffee
301,Juice
301,Mineral water
301,Soup
302,Soup
302,Tea
303,Juice
303,Tea
303,Cookies
303,Soup
304,Hearty & Seasonal
304,Tea
305,Fudge
306,Coffee
306,Mineral water
306,Juice
306,Soup
307,Hearty & Seasonal
308,Hearty & Seasonal
308,Smoothies
309,Hearty & Seasonal
309,Tea
310,Coffee
310,Sandwich
310,Sandwich
311,Cookies
311,Farm House
312,Soup
312,Tea
312,Juice
313,Soup
314,Coffee
316,Bread
317,Cookies
317,Tea
318,Soup
318,Hearty & Seasonal
318,Bread
319,Coffee
320,Coffee
321,Coffee
321,Tea
322,Bread
323,Tea
324,Coffee
324,Tea
325,Coffee
326,Fudge
327,Tea
328,Soup
328,Tea
329,Juice
330,Alfajores
331,Bread
332,Coffee
332,Alfajores
333,Juice
333,Alfajores
333,Cookies
333,Pick and Mix Bowls
333,Mineral water
334,Coffee
334,Alfajores
335,Fudge
336,Mighty Protein
336,Juice
337,Coffee
337,Mineral water
337,Alfajores
338,Mighty Protein
338,Coffee
339,Alfajores
889,Pastry
889,Coffee
890,Bread
891,Pastry
891,Coffee
892,Coffee
892,Coffee
893,Coffee
893,Pastry
894,Farm House
895,Bread
896,Coffee
896,Hot chocolate
897,Bread
898,Coffee
898,Focaccia
898,Coffee
898,Medialuna
898,Bread
899,Coffee
900,Bread
900,Keeping It Local
901,Bread
901,Coffee
902,Bread
902,NONE
903,Bread
903,Medialuna
904,Coffee
905,Coffee
905,Coffee
905,Medialuna
906,Coffee
906,Cookies
906,Tartine
907,Tea
907,Bread
908,Bread
908,Keeping It Local
908,Coffee
909,Coffee
909,Medialuna
910,Coffee
910,Medialuna
911,Tea
912,Juice
912,Coke
912,Soup
913,Bread
914,Brownie
915,Brownie
915,Bread
915,Coffee
916,Coffee
916,Pastry
916,Bread
916,Hearty & Seasonal
917,Bread
917,Coffee
917,Brownie
918,Coffee
919,Bread
919,Cookies
920,Fudge
920,Eggs
921,Bread
922,Bread
922,Muffin
923,Soup
924,Coffee
924,Bread Pudding
925,Bread
925,Tartine
926,Sandwich
926,Coffee
926,Fudge
926,Jam
926,Bread Pudding
927,Bread Pudding
927,Soup
927,Coffee
928,Hearty & Seasonal
928,Bread
929,Coffee
929,Coffee
929,Cookies
930,Coffee
931,Bread
932,Coffee
932,Bread
932,Soup
933,Soup
933,Tea
933,Focaccia
934,Coffee
934,My-5 Fruit Shoot
934,Cookies
935,Coffee
935,Coffee
936,Coffee
936,Sandwich
936,Tea
937,Scandinavian
938,Adjustment
1408,Coffee
1408,Medialuna
1409,Bread
1410,Pastry
1410,Coffee
1411,Coffee
1411,Bread
1411,NONE
1411,Jam
1412,Bread
1412,Coffee
1412,NONE
1413,Coke
1414,Bread
1415,Coffee
1415,Coffee
1416,Coffee
1417,Pastry
1418,Scandinavian
1418,Pastry
1418,NONE
1419,Bread
1419,NONE
1419,Granola
1420,Tea
1420,Coffee
1420,Pastry
1421,Bread
1421,Mineral water
1422,Tea
1422,Medialuna
1423,Brownie
1424,Tea
1424,Coffee
1424,Pastry
1425,Hot chocolate
1425,Coffee
1425,Cake
1426,Bread
1427,Bread
1427,Jam
1428,Scandinavian
1429,Bread
1429,Coffee
1429,Pastry
1429,Cake
1430,Bread
1431,Coffee
1432,Bread
1433,Coffee
1433,Cake
1434,Coffee
1435,Coffee
1436,Coffee
1436,Soup
1437,Scandinavian
1437,Bread
1438,Sandwich
1438,Soup
1438,Bread
1438,Cake
1439,Coffee
1439,Bread
1439,Tartine
1440,Soup
1441,Bread
1442,Soup
1442,Juice
